序號,地名,緯度,經度,座標文字,百分比X,百分比Y
1,哈蘭,31.39230033426005,40.49783964238239,"31.3923003, 40.4978396",52.7313,25.0426
2,東方,76.40885060696323,41.53324687048132,"76.4088506, 41.5332469",56.7311,70.0592
3,多坍,32.1042786,34.9504407,"32.1042786, 34.9504407",31.3017,60.9833
4,雅博渡口,70.59433878132222,35.4962440818637,"70.5943388, 35.4962441",33.4101,64.2446
5,示劍,71.06477253803132,35.08792894812124,"71.0647725, 35.0879289",31.8328,64.7151
6,疏割,71.73534863361238,35.755637327135354,"71.7353486, 35.7556373",34.4122,65.3857
7,迦南東方,72.68921002167977,36.848421299282634,"72.6892100, 36.8484213",38.6336,66.3395
8,基列山,69.31610127954204,35.92034676938012,"69.3161013, 35.9203468",35.0484,62.9664
9,伯特利,31.15,35.12,"31.1500000, 35.1200000",31.9567,67.7646
10,伯特利下邊,31.1,35.1,"31.1000000, 35.1000000",31.8794,68.1199
11,伊拿印,79.17069415915526,34.496306950235095,"79.1706942, 34.4963070",29.5474,72.8210
12,沙微谷,78.35875273414968,35.20497387020802,"78.3587527, 35.2049739",32.2850,72.0091
13,摩利亞山,77.29996761350353,34.98807202526366,"77.2999676, 34.9880720",31.4471,70.9503
14,伯利恆,78.8858952191325,34.9208349332864,"78.8858952, 34.9208349",31.1873,72.5362
15,以得臺,79.91450449495036,35.066603575179286,"79.9145045, 35.0666036",31.7504,73.5648
16,希伯崙,82.67578900524495,34.73216754996025,"82.6757890, 34.7321675",30.4585,76.3261
17,別是巴,85.90407988099773,34.41321834183088,"85.9040799, 34.4132183",29.2264,79.5544
18,西訂谷,88.58447890151061,35.161849576261524,"88.5844789, 35.1618496",32.1184,82.2348
19,所多瑪,86.77347521651305,35.06399569437961,"86.7734752, 35.0639957",31.7404,80.4238
20,基拉耳,82.29095956353862,33.84068526833515,"82.2909596, 33.8406853",27.0147,75.9413
21,瑣珥,87.45579789746321,35.26204314466123,"87.4557979, 35.2620431",32.5054,81.1061
22,歌珊,29.9601899,31.4261057,"29.9601899, 31.4261057",17.6871,76.2197
23,西珥山,93.24960275906838,35.81954162824555,"93.2496028, 35.8195416",34.6590,86.8999
24,庇耳·拉海·萊,91.83448970981954,34.002322258932104,"91.8344897, 34.0023223",27.6391,85.4848
25,埃及安城,29.6691022,30.8829044,"29.6691022, 30.8829044",15.5888,78.2883
26,巴蘭,96.3815134830129,33.908667469112316,"96.3815135, 33.9086675",27.2773,90.0318
27,埃及,25.5,30.8,"25.5000000, 30.8000000",15.2685,107.9150
28,吾珥,77.96811879345296,47.511200908858015,"77.9681188, 47.5112009",79.8240,71.6184
