序號,地名,緯度,經度,座標文字,百分比X,百分比Y
1,哈蘭,36.867,39.031,"36.8670000, 39.0310000",123.5787,-116.2309
2,東方,33.2,39.5,"33.2000000, 39.5000000",131.3874,0.7838
3,多坍,32.5,35.12,"32.5000000, 35.1200000",58.4619,23.1209
4,雅博渡口,51.94526382903058,35.80422968260169,"51.9452638, 35.8042297",69.8541,31.6364
5,示劍,51.97168093153332,35.358943307943726,"51.9716809, 35.3589433",62.4402,31.6629
6,疏割,52.2363774492496,35.68553027692076,"52.2363774, 35.6855303",67.8778,31.9276
7,迦南東方,58.33403458554475,36.30041477839416,"58.3340346, 36.3004148",78.1154,38.0252
8,基列山,49.288016980219304,35.88340210537204,"49.2880170, 35.8834021",71.1723,28.9792
9,伯特利,60.74609073100546,35.32979219993891,"60.7460907, 35.3297922",61.9549,40.4373
10,伯特利下邊,62.26700852239277,35.31056788739377,"62.2670085, 35.3105679",61.6348,41.9582
11,伊拿印,68.73949886156828,35.06277090183103,"68.7394989, 35.0627709",57.5091,48.4307
12,沙微谷,65.51139993004841,35.39701986993953,"65.5113999, 35.3970199",63.0742,45.2026
13,摩利亞山,66.40051081917224,35.27378462006569,"66.4005108, 35.2737846",61.0224,46.0917
14,伯利恆,68.89314149525518,35.23752209928243,"68.8931415, 35.2375221",60.4186,48.5843
15,以得臺,69.75878985820273,35.30157856461245,"69.7587899, 35.3015786",61.4851,49.4500
16,希伯崙,73.27477585502956,35.14513083482592,"73.2747759, 35.1451308",58.8803,52.9660
17,別是巴,78.08698639414249,34.9307972284703,"78.0869864, 34.9307972",55.3118,57.7782
18,西訂谷,92.50709366031978,35.50406080455273,"92.5070937, 35.5040608",64.8564,72.1983
19,所多瑪,88.87590704545394,35.471660573242076,"88.8759070, 35.4716606",64.3169,68.5671
20,基拉耳,80.56378069919751,34.578767408257825,"80.5637807, 34.5787674",49.4506,60.2550
21,瑣珥,90.34369785641215,35.519726510511305,"90.3436979, 35.5197265",65.1172,70.0349
22,歌珊,104.43887241001377,31.743025599477498,"104.4388724, 31.7430256",2.2364,84.1301
23,西珥山,30.75,35.75,"30.7500000, 35.7500000",68.9512,78.9637
24,庇耳·拉海·萊,96.08924366350422,34.668905026033684,"96.0892437, 34.6689050",50.9513,75.7804
25,埃及安城,30.65,31.3,"30.6500000, 31.3000000",-5.1398,82.1548
26,巴蘭,30.5,34.3,"30.5000000, 34.3000000",44.8092,86.9413
27,埃及,26.8,30.8,"26.8000000, 30.8000000",-13.4646,205.0090
